"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C-B401","1","FGH0H105ZF","","","","FGH0H105ZF","https://content.kemet.com/datasheets/KEM_S6013_FG.pdf"
"C1","1","100µF, 16v","","","","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~"
"C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15","14","100nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C16","1","200pF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C401,C402","2","22pF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C409","1","4,7µF, 16v","","","","Capacitor_Tantalum_SMD:CP_EIA-3216-12_Kemet-S_HandSolder","~"
"C410","1","33µF 10V","","","","Capacitor_Tantalum_SMD:CP_EIA-7343-31_Kemet-D_HandSolder","~"
"C411,C412","2","47nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D401,D403","2","LL4448","","","","Diode_SMD:D_MiniMELF","~"
"D404","1","3,3V","","","","Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal","~"
"IC401","1","MC68B09","","","","Package_DIP:DIP-40_W15.24mm_Socket_LongPads","http://pdf.datasheetcatalog.com/datasheet/motorola/MC68B09S.pdf"
"IC402","1","MC68A44","","","","Package_DIP:DIP-40_W15.24mm_Socket_LongPads","http://pdf.datasheetcatalog.com/datasheets/560/501527_DS.pdf"
"IC403","1","74HCT02","","","","Package_SO:SO-14_3.9x8.65mm_P1.27mm","http://www.ti.com/lit/gpn/sn74ls02"
"IC404","1","4116R-1-220","","","","Package_DIP:DIP-16_W7.62mm_Socket_LongPads","~"
"IC416,IC417","2","74HCT138","","","","Package_SO:SO-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS138"
"IC419","1","74HCT157","","","","Package_SO:SO-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS157"
"IC420","1","8291A","","","","Package_DIP:DIP-40_W15.24mm_Socket_LongPads","https://w140.com/tekwiki/images/5/57/I8291A.pdf"
"IC421,IC422","2","MC3447","","","","Package_DIP:DIP-24_W15.24mm_Socket_LongPads",""
"IC424","1","74HCT244","","","","Package_SO:SO-20_12.8x7.5mm_P1.27mm","http://www.ti.com/lit/ds/symlink/sn74ls244.pdf"
"IC426","1","AD558JN","","","","Package_DIP:DIP-16_W7.62mm_Socket","https://www.analog.com/static/imported-files/data_sheets/AD558.pdf"
"LK16","1","Shield","","","","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
"PL401","1","Conn_01x40","","","","Connector_IDC:IDC-Header_2x20_P2.54mm_Vertical","~"
"R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R42","12","6,8k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R41,R406","2","3,3k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R401,R402","2","100k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R403","1","470","","","","Resistor_SMD:R_1206_3216Metric","~"
"R404","1","820","","","","Resistor_SMD:R_1206_3216Metric","~"
"R405","1","150","","","","Resistor_SMD:R_1206_3216Metric","~"
"SK412","1","SK412","","","","Package_DIP:DIP-24_W15.24mm_Socket_LongPads","~"
"SK414","1","~","","","","Package_DIP:DIP-16_W7.62mm_Socket_LongPads","~"
"TP1","1","Start","","","","TestPoint:TestPoint_Keystone_5000-5004_Miniature","~"
"TP2","1","Stop","","","","TestPoint:TestPoint_Keystone_5000-5004_Miniature","~"
"TP3","1","Clock","","","","TestPoint:TestPoint_Keystone_5000-5004_Miniature","~"
"TP4","1","Enable","","","","TestPoint:TestPoint_Keystone_5000-5004_Miniature","~"
"TP5,TP7","2","GND","","","","TestPoint:TestPoint_Keystone_5000-5004_Miniature","~"
"TP6","1","A15","","","","TestPoint:TestPoint_Keystone_5000-5004_Miniature","~"
"TP8","1","D/A","","","","TestPoint:TestPoint_Keystone_5000-5004_Miniature","~"
"TP9","1","+5V","","","","TestPoint:TestPoint_Keystone_5000-5004_Miniature","~"
"TR401","1","BC557","","","","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC556BTA-D.pdf"
"TR402,TR403","2","BC337","","","","Package_TO_SOT_THT:TO-92_Inline","http://www.cdil.com/datasheets/bc413_14_b_c.pdf"
"U1","1","74HCT08","","","","Package_SO:SO-14_3.9x8.65mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS08"
"U406,U407","2","AS6C6264-55SIN","","","","Package_SO:SOP-28_8.4x18.16mm_P1.27mm","https://www.alliancememory.com/wp-content/uploads/pdf/Alliance%20Memory_64K_AS6C6264v2.0July2017.pdf"
"U430","1","M27C512","","","","Package_DIP:DIP-28_W15.24mm_Socket_LongPads","http://ww1.microchip.com/downloads/en/DeviceDoc/doc0015.pdf"
"X401","1","6MHz","","","","Crystal:Crystal_HC18-U_Horizontal","~"
